Makale_ID,Baslik,Kategori,Kaynak,Yil,Temizlenmis_Icerik,Cumleler,Token_Sayisi,Duraksiz_Tokenlar,Lemmatized_Tokenlar
TR028,Yeni Seçim Kanunu Teklifine İlişkin Tartışmalar Sürüyor,Siyaset,Milliyet,2024,Mecliste gündemde yer alan seçim kanunu değişiklik teklifine ilişkin tartışmalar aralıksız devam ediyor Muhalefet partileri teklifin demokratik değerlere aykırı olduğunu öne sürüyor İktidar ise yeni düzenlemelerin şeffaflığı artıracağını savunuyor,Mecliste gündemde yer alan seçim kanunu değişiklik teklifine ilişkin tartışmalar aralıksız devam ediyor. | Muhalefet partileri teklifin demokratik değerlere aykırı olduğunu öne sürüyor. | İktidar ise yeni düzenlemelerin şeffaflığı artıracağını savunuyor.,29,mecliste gündemde yer alan seçim kanunu değişiklik teklifine ilişkin tartışmalar aralıksız devam ediyor muhalefet partileri teklifin demokratik değerlere aykırı olduğunu öne sürüyor iktidar düzenlemelerin şeffaflığı artıracağını savunuyor,meclis gündem yer alan seçim kanunu değişik teklifi ilişk tartışma aralıksız devam edi muhalefet parti teklif demokratik değer aykırı olduğunu öne sür iktidar düzenleme şeffaflığı artıracağını savun
TR029,AB Üyelik Müzakereleri Yeniden Gündemde,Siyaset,Hurriyet,2024,Avrupa Birliği ile sürdürülen üyelik müzakerelerinin yeniden aktive edilmesine yönelik diplomatik temaslara hız kazandırıldı Dışişleri Bakanı Brüksel deki kritik görüşmeler için hazırlıkların sürdüğünü açıkladı Gözlemciler bu sürecin son derece uzun soluklu ve karmaşık olduğuna dikkat çekiyor,Avrupa Birliği ile sürdürülen üyelik müzakerelerinin yeniden aktive edilmesine yönelik diplomatik temaslara hız kazandırıldı. | Dışişleri Bakanı Brüksel'deki kritik görüşmeler için hazırlıkların sürdüğünü açıkladı. | Gözlemciler bu sürecin son derece uzun soluklu ve karmaşık olduğuna dikkat çekiyor.,36,avrupa birliği sürdürülen üyelik müzakerelerinin yeniden aktive edilmesine yönelik diplomatik temaslara hız kazandırıldı dışişleri bakanı brüksel deki kritik görüşmeler hazırlıkların sürdüğünü açıkladı gözlemciler sürecin son derece uzun soluklu karmaşık olduğuna dikkat çekiyor,avrupa birliği sürdürülen üye müzakereleri yeni aktive edilmesi yöne diplomatik temas hız kazandırıl dışiş bakanı brüksel deki kritik görüşme hazırlık sürdüğünü açıkla gözlemci sürec son derece uzun soluklu karmaşık olduğu dikkat çek
TR030,Yerel Seçimler İçin Aday Listeleri Belirleniyor,Siyaset,Sabah,2024,Siyasi partiler Mart ayında yapılacak yerel seçimler için büyükşehir belediye başkanı adaylarını belirleme sürecine girdi İstanbul Ankara ve İzmir büyükşehirleri özelinde yoğun bir kamuoyu beklentisi bulunuyor Anketler kritik illerde olası sonuçlara ilişkin farklı tablolar ortaya koyuyor,Siyasi partiler Mart ayında yapılacak yerel seçimler için büyükşehir belediye başkanı adaylarını belirleme sürecine girdi. | İstanbul Ankara ve İzmir büyükşehirleri özelinde yoğun bir kamuoyu beklentisi bulunuyor. | Anketler kritik illerde olası sonuçlara ilişkin farklı tablolar ortaya koyuyor.,36,siyasi partiler mart ayında yapılacak yerel seçimler büyükşehir belediye başkanı adaylarını belirleme sürecine girdi istanbul ankara izmir büyükşehirleri özelinde yoğun kamuoyu beklentisi bulunuyor anketler kritik illerde olası sonuçlara ilişkin farklı tablolar ortaya koyuyor,siyasi parti mart ayı yapıl yerel seçim büyükşehir belediye başkanı adaylarını belirleme süreci gir istanbul ankara izmir büyükşehir özeli yoğ kamuoyu beklentisi bulun anket kritik iller olası sonuç ilişk farklı tablo ortaya koy
TR031,İstanbul Film Festivali Başlıyor,Kültür,Milliyet,2024,İstanbul Uluslararası Film Festivali bu akşam açılış töreniyle başladı Bu yıl ülkeden ü aşkın film gösterime girecek Festival kapsamında Türk yönetmenlere özel bir bölüm de yer alıyor,43. | İstanbul Uluslararası Film Festivali bu akşam açılış töreniyle başladı. | Bu yıl 70 ülkeden 200'ü aşkın film gösterime girecek. | Festival kapsamında Türk yönetmenlere özel bir bölüm de yer alıyor.,26,istanbul uluslararası film festivali akşam açılış töreniyle başladı yıl ülkeden aşkın film gösterime girecek festival kapsamında türk yönetmenlere özel bölüm yer alıyor,istanbul uluslararası film festivali akşam açılış töreniyle başla yıl ülke aşk film gösterime gir festival kapsamı türk yönetmen özel bölüm yer alı
TR032,Türk Dizileri Dünyayı Fethediyor,Kültür,Hurriyet,2024,Netflix ve Amazon Prime platformlarında yayımlanan Türk dizileri uluslararası izleyicilerin büyük beğenisini kazanıyor Bazı yapımlar yi aşkın ülkeye ihraç ediliyor Türk dizi ihracatının bu yıl milyar doları geçmesi öngörülüyor,Netflix ve Amazon Prime platformlarında yayımlanan Türk dizileri uluslararası izleyicilerin büyük beğenisini kazanıyor. | Bazı yapımlar 150'yi aşkın ülkeye ihraç ediliyor. | Türk dizi ihracatının bu yıl 1 milyar doları geçmesi öngörülüyor.,29,netflix amazon prime platformlarında yayımlanan türk dizileri uluslararası izleyicilerin beğenisini kazanıyor yapımlar aşkın ülkeye ihraç ediliyor türk dizi ihracatının yıl milyar doları geçmesi öngörülüyor,netflix amazon prime platformları yayımlanan türk dizi uluslararası izleyici beğenisini kazan yapım aşk ülkeye ihraç edil türk dizi ihracatı yıl milyar doları geçmesi öngörül
TR033,Türk Mutfağı UNESCO Listesine Girmeyi Hedefliyor,Kültür,Sabah,2024,Türkiye geleneksel mutfak kültürünü UNESCO Somut Olmayan Kültürel Miras listesine taşımak amacıyla resmi başvuruyu tamamladı Türk kahvesi ve bazlama zaten listede yer alıyor Yeni başvuru kapsamında çorba kültürü ile zeytinyağlı yemekler öne çıkarılıyor,"Türkiye, geleneksel mutfak kültürünü UNESCO Somut Olmayan Kültürel Miras listesine taşımak amacıyla resmi başvuruyu tamamladı. | Türk kahvesi ve bazlama zaten listede yer alıyor. | Yeni başvuru kapsamında çorba kültürü ile zeytinyağlı yemekler öne çıkarılıyor.",33,türkiye geleneksel mutfak kültürünü unesco somut olmayan kültürel miras listesine taşımak amacıyla resmi başvuruyu tamamladı türk kahvesi bazlama listede yer alıyor başvuru kapsamında çorba kültürü zeytinyağlı yemekler öne çıkarılıyor,türkiye geleneksel mutfak kültürünü unesco somut olmayan kültürel miras listesi taşı amacıyla resmi başvuruyu tamamla türk kahvesi bazlama liste yer alı başvuru kapsamı çorba kültürü zeytinyağlı yemek öne çıkarıl
TR034,Kütüphane Sayısı Artıyor Okuma Alışkanlığı Azalıyor,Kültür,Milliyet,2023,Türkiye Kütüphaneler ve Yayımlar Genel Müdürlüğü raporuna göre ülkedeki kütüphane sayısı i aşmış durumda Ancak okuma alışkanlığına ilişkin araştırmalar dijitalleşme süreciyle birlikte kitap okuma süresinin gerilediğine işaret ediyor Uzmanlar bu durumun uzun vadede ciddi sonuçlar doğurabileceği uyarısında bulunuyor,Türkiye Kütüphaneler ve Yayımlar Genel Müdürlüğü raporuna göre ülkedeki kütüphane sayısı 2.000'i aşmış durumda. | Ancak okuma alışkanlığına ilişkin araştırmalar dijitalleşme süreciyle birlikte kitap okuma süresinin gerilediğine işaret ediyor. | Uzmanlar bu durumun uzun vadede ciddi sonuçlar doğurabileceği uyarısında bulunuyor.,37,türkiye kütüphaneler yayımlar genel müdürlüğü raporuna ülkedeki kütüphane sayısı aşmış durumda okuma alışkanlığına ilişkin araştırmalar dijitalleşme süreciyle birlikte kitap okuma süresinin gerilediğine işaret ediyor uzmanlar durumun uzun vadede ciddi sonuçlar doğurabileceği uyarısında bulunuyor,türkiye kütüphane yayım genel müdürlüğü raporu ülke kütüpha sayısı aşmış durum okuma alışkanlığı ilişk araştırma dijitalleşme süreciyle birlik kitap okuma süresi gerilediği işaret edi uzman durum uzun vade cid sonuç doğurabileceği uyarısı bulun
TR035,Türk Sanatçılar Uluslararası Arenada Başarı Kazanıyor,Kültür,Hurriyet,2024,Türk plastik sanatçılar ve müzisyenler uluslararası ödül törenlerinde göz dolduran başarılar sergilemeye devam ediyor Bir Türk ressam bu yıl Venedik Bienali nde büyük ödülün sahibi oldu Uluslararası galerilerdeki Türk sanatçı sayısı da her geçen yıl artıyor,Türk plastik sanatçılar ve müzisyenler uluslararası ödül törenlerinde göz dolduran başarılar sergilemeye devam ediyor. | Bir Türk ressam bu yıl Venedik Bienali'nde büyük ödülün sahibi oldu. | Uluslararası galerilerdeki Türk sanatçı sayısı da her geçen yıl artıyor.,36,türk plastik sanatçılar müzisyenler uluslararası ödül törenlerinde göz dolduran başarılar sergilemeye devam ediyor türk ressam yıl venedik bienali nde ödülün sahibi uluslararası galerilerdeki türk sanatçı sayısı yıl artıyor,türk plastik sanatçı müzisyen uluslararası ödül törenleri göz dolduran başarı sergilemeye devam edi türk ressam yıl venedik bienali nde ödül sahibi uluslararası galeriler türk sanat sayısı yıl art
TR036,Ukrayna-Rusya Çatışmasında Son Durum,Dünya,Sabah,2024,Ukrayna ve Rusya arasındaki silahlı çatışma iki yılı aşkın bir süredir devam ediyor BM Güvenlik Konseyi nde acil toplantı gerçekleştirildi Türkiye arabuluculuk rolünü sürdürmeye devam ediyor,Ukrayna ve Rusya arasındaki silahlı çatışma iki yılı aşkın bir süredir devam ediyor. | BM Güvenlik Konseyi'nde acil toplantı gerçekleştirildi. | Türkiye arabuluculuk rolünü sürdürmeye devam ediyor.,26,ukrayna rusya arasındaki silahlı çatışma iki yılı aşkın süredir devam ediyor güvenlik konseyi nde acil toplantı gerçekleştirildi türkiye arabuluculuk rolünü sürdürmeye devam ediyor,ukray rusya arasın silahlı çatışma iki yılı aşk süredir devam edi güven konseyi nde acil toplan gerçekleştiril türkiye arabulucu rolünü sürdürmeye devam edi
TR037,G20 Zirvesinde İklim Krizi Masaya Yatırıldı,Dünya,Milliyet,2024,Brezilya da gerçekleştirilen G Zirvesi nde liderler iklim değişikliği gündemiyle uzun soluklu müzakereler yürüttü Gelişmekte olan ülkeler daha fazla finansman talep ederken gelişmiş ülkeler mevcut taahhütlerini yerine getirmeye odaklanıyor Türkiye yenilenebilir enerji hedeflerini zirveye taşıdı,Brezilya'da gerçekleştirilen G20 Zirvesi'nde liderler iklim değişikliği gündemiyle uzun soluklu müzakereler yürüttü. | Gelişmekte olan ülkeler daha fazla finansman talep ederken gelişmiş ülkeler mevcut taahhütlerini yerine getirmeye odaklanıyor. | Türkiye yenilenebilir enerji hedeflerini zirveye taşıdı.,34,brezilya gerçekleştirilen zirvesi nde liderler iklim değişikliği gündemiyle uzun soluklu müzakereler yürüttü gelişmekte ülkeler fazla finansman talep ederken gelişmiş ülkeler mevcut taahhütlerini yerine getirmeye odaklanıyor türkiye yenilenebilir enerji hedeflerini zirveye taşıdı,brezilya gerçekleştirilen zirvesi nde lider iklim değişikliği gündemiyle uzun soluklu müzakere yürüt gelişmek ülke fazla finansman talep ederken gelişmiş ülke mevcut taahhütlerini yeri getirmeye odaklan türkiye yenilenebilir enerji hedeflerini zirveye taşı
TR038,Ortadoğu'da Barış Görüşmeleri Başladı,Dünya,Hurriyet,2024,ABD arabuluculuğunda gerçekleştirilen görüşmelerde İsrail ve Filistin yetkilileri ateşkes koşullarını masaya yatırdı BM Genel Sekreteri kalıcı bir çözüm için zaman kaybetmeden harekete geçilmesi çağrısında bulundu Türkiye insani yardım koridorlarının açılması için yoğun diplomatik trafik yürütüyor,ABD arabuluculuğunda gerçekleştirilen görüşmelerde İsrail ve Filistin yetkilileri ateşkes koşullarını masaya yatırdı. | BM Genel Sekreteri kalıcı bir çözüm için zaman kaybetmeden harekete geçilmesi çağrısında bulundu. | Türkiye insani yardım koridorlarının açılması için yoğun diplomatik trafik yürütüyor.,35,abd arabuluculuğunda gerçekleştirilen görüşmelerde israil filistin yetkilileri ateşkes koşullarını masaya yatırdı genel sekreteri kalıcı çözüm zaman kaybetmeden harekete geçilmesi çağrısında bulundu türkiye insani yardım koridorlarının açılması yoğun diplomatik trafik yürütüyor,abd arabuluculuğu gerçekleştirilen görüşme israil filist yetkili ateşkes koşullarını masaya yatır genel sekreteri kalı çözüm zaman kaybetme hareke geçilmesi çağrısı bulun türkiye insani yardım koridorları açılması yoğ diplomatik trafik yürüt
TR039,Dünya Ekonomisinde Resesyon Sinyalleri,Dünya,Sabah,2024,IMF son raporunda küresel ekonomik büyümenin yavaşladığını ve bazı ülkelerin resesyon riskiyle yüz yüze olduğunu vurguladı Faiz oranlarının yüksek seyretmesi tüketimi olumsuz etkiliyor Türkiye enflasyonla mücadele politikasını kararlılıkla sürdürüyor,IMF son raporunda küresel ekonomik büyümenin yavaşladığını ve bazı ülkelerin resesyon riskiyle yüz yüze olduğunu vurguladı. | Faiz oranlarının yüksek seyretmesi tüketimi olumsuz etkiliyor. | Türkiye enflasyonla mücadele politikasını kararlılıkla sürdürüyor.,29,ımf son raporunda küresel ekonomik büyümenin yavaşladığını ülkelerin resesyon riskiyle yüz yüze olduğunu vurguladı faiz oranlarının yüksek seyretmesi tüketimi olumsuz etkiliyor türkiye enflasyonla mücadele politikasını kararlılıkla sürdürüyor,ımf son raporu küresel ekonomik büyüme yavaşladığını ülke resesyon riskiyle yüz yüze olduğunu vurgula faiz oranları yüksek seyretmesi tüketimi olumsuz etkil türkiye enflasyonla mücadele politikasını kararlılıkla sürdür
TR040,COP29 İklim Zirvesine Doğru,Dünya,Milliyet,2024,Azerbaycan ın Bakü kentinde düzenlenecek COP İklim Zirvesi hazırlıkları hız kazandı ü aşkın ülkeden binlerce delege zirveye katılacak Uzmanlar en önemli gündemin fosil yakıt kullanımını azaltmaya yönelik bağlayıcı taahhütler olduğunu vurguluyor,Azerbaycan'ın Bakü kentinde düzenlenecek COP29 İklim Zirvesi hazırlıkları hız kazandı. | 200'ü aşkın ülkeden binlerce delege zirveye katılacak. | Uzmanlar en önemli gündemin fosil yakıt kullanımını azaltmaya yönelik bağlayıcı taahhütler olduğunu vurguluyor.,30,azerbaycan bakü kentinde düzenlenecek cop iklim zirvesi hazırlıkları hız kazandı aşkın ülkeden binlerce delege zirveye katılacak uzmanlar önemli gündemin fosil yakıt kullanımını azaltmaya yönelik bağlayıcı taahhütler olduğunu vurguluyor,azerbaycan bakü kenti düzenlen cop iklim zirvesi hazırlık hız kazan aşk ülke binlerce delege zirveye katıl uzman önemli gündem fosil yakıt kullanımını azaltmaya yöne bağlayı taahhüt olduğunu vurgul
